title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,edm,rock,country,latin,kpop
Starboy,The Weeknd,460436382,7MXVkk9YMctZqd1Srtv4MB,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,https://p.scdn.co/mp3-preview/57c1238d183c40da3157c2892346f58445b1377c?cid=e06033cb82944a2fabf676f565716d87,94.0,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,2016-11-25,1Xyo4u8uXC1ZmMpatF05PJ,True,True,,,,,
good 4 u,Olivia Rodrigo,458684619,4ZtFanR9U6ndgddUvNcjcG,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,https://p.scdn.co/mp3-preview/b842388e0a8bb4c8667f77d645b25fdcd50961c1?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,2021-05-21,1McMsnEElThX1knmY4oliG,,True,,,,,
Kill Bill,SZA,455307732,1Qrg8KqiBpW07V7PNxwwwL,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=e06033cb82944a2fabf676f565716d87,92.0,https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL,2022-12-08,7tYKF4w9nC0nq9CsPZTHyP,True,True,,,,,
SLOW DANCING IN THE DARK,Joji,443778087,0rKtyWc8bvkriBthvHKY8d,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,https://p.scdn.co/mp3-preview/1aa59cfc4e15a45403fd35eb72ce62acd8a45f58?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,2018-10-26,3MZsBdqDrRTJihTHQrO6Dq,,True,,,,,
Robbery,Juice WRLD,443773199,6iaSML1PIYq936g62BDtBq,https://i.scdn.co/image/ab67616d0000b2738b27d35aa2c6dcf99895d664,https://p.scdn.co/mp3-preview/cf64da8095afffc6c6feca25c90e96487f1eceb1?cid=e06033cb82944a2fabf676f565716d87,82.0,https://open.spotify.com/track/6iaSML1PIYq936g62BDtBq,2019-03-08,4MCBfE4596Uoi2O4DtmEMz,True,,,,,,
Wasted On You,Morgan Wallen,443723573,3cBsEDNhFI9E82vPj3kvi3,https://i.scdn.co/image/ab67616d0000b2737d6813fd233f3bc4977cceca,https://p.scdn.co/mp3-preview/185a44ab4036da728ee2f90bc0c9e61439f43261?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3,2021-01-08,4oUHIQIBe0LHzYfvXNW4QM,,,,,True,,
Die For You,The Weeknd,442648342,2LBqCSwhJGcFQeTHMVGwy3,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,https://p.scdn.co/mp3-preview/e2e1b4ba70ff241ce2ce7283a8f4c3cb086ac0bd?cid=e06033cb82944a2fabf676f565716d87,90.0,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2016-11-24,1Xyo4u8uXC1ZmMpatF05PJ,True,True,,,,,
lovely,Billie Eilish,441174226,0u2P5u6lvoDfwTYjAADbn4,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,https://p.scdn.co/mp3-preview/18b3cbbad11e488c24c76d0c697cec8618c15f96?cid=e06033cb82944a2fabf676f565716d87,90.0,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2018-04-19,6qqNVTkY8uBg9cP3Jd7DAH,,True,,,,,
The Hills,The Weeknd,433829877,7fBv7CLKzipRk6EC6TWHOB,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,https://p.scdn.co/mp3-preview/30a8d26fa2b2e9a5a01007d71783510180e677ab?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,2015-08-28,1Xyo4u8uXC1ZmMpatF05PJ,True,True,,,,,
Moonlight,XXXTENTACION,431568186,0JP9xo3adEtGSdUEISiszL,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,https://p.scdn.co/mp3-preview/fc7faf8b857409dd3655ccbc084d90c4f2551797?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2018-03-16,15UsOTVnJzReFVN1VCnxy4,True,,,,,,
