title,artist,streams,id,image
Let Me Love You,DJ Snake,850612436,0lYBSQXN6rCTvUZvg9S0lU,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc
In My Feelings,Drake,842567102,2G7V7zsVDxg1yRsu7Ew9RJ,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5
PROVENZA,KAROL G,841595219,3HqcNJdZ2seoGxhn0wVNDK,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
Lose Yourself,Eminem,838755270,5Z01UMMf7V1o0MzF86s6WJ,https://i.scdn.co/image/ab67616d0000b273eab40fc794b88b9d1e012578
Ride It,Regard,834423749,2tnVG71enUj33Ic2nFN6kZ,https://i.scdn.co/image/ab67616d0000b2735c27813ae019011fcb370c78
La Bebe - Remix,Yng Lvcas,827640689,2UW7JaomAMuX9pZrjVpHAU,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
Happier Than Ever,Billie Eilish,827082250,4RVwu0g32PAqgUiJoXsdF8,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e
TQG,KAROL G,824044259,0DWdj2oZMBFSzRsi2Cvfzf,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
everything i wanted,Billie Eilish,822587129,3ZCTVFBt2Brf31RLEnCkWJ,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
That's What I Like,Bruno Mars,820342422,0KKkJNfGyhkQ5aFogxQAPU,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
Need To Know,Doja Cat,820296282,3Vi5XqYrmQgOYBajMWSvCi,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a
High Hopes,Panic! At The Disco,819003001,1rqqCSm0Qe4I9rUvWncaom,https://i.scdn.co/image/ab67616d0000b273c5148520a59be191eea16989
Blueberry Faygo,Lil Mosey,807671989,22LAwLoDA5b4AaGSkg6bKW,https://i.scdn.co/image/ab67616d0000b2730824105a6282782aaabb0584
Dark Red,Steve Lacy,803973715,3EaJDYHA0KnX88JvDhL9oa,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979
Leave The Door Open,Bruno Mars,802639623,02VBYrHfVwfEWXk5DXyf0T,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86
Cold Water,Major Lazer,802152562,7zsXy7vlHdItvUSH8EwQss,https://i.scdn.co/image/ab67616d0000b2733d2ab503fa064e2050a7d115
you broke me first,Tate McRae,797209064,45bE4HXI0AwGZXfZtMp8JR,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4
Hawái,Maluma,793442452,1yoMvmasuxZfqHEipJhRbp,https://i.scdn.co/image/ab67616d0000b27387d15f78ec75621d40028baf
Stressed Out,Twenty One Pilots,792998858,3CRDbSIZ4r5MsZ0YwxuEkn,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3
Romantic Homicide,d4vd,790774429,1xK59OXxi2TAAAbmZK0kBL,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0
Despacito (Featuring Daddy Yankee),Luis Fonsi,789414310,6habFhsOp2NvshLv26DqMb,https://i.scdn.co/image/ab67616d0000b273ef0d4234e1a645740f77d59c
Moscow Mule,Bad Bunny,781170620,6Xom58OOXk2SoU711L2IXO,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
Astronaut In The Ocean,Masked Wolf,780496141,3Ofmpyhv5UAQ70mENzB277,https://i.scdn.co/image/ab67616d0000b27397fdd7cf1b14d78c6a7fb17f
un x100to,Grupo Frontera,777455381,6pD0ufEQq0xdHSsRbg9LBK,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
Bad Habit,Steve Lacy,776530316,4k6Uh1HXdhtusDW5y8Gbvy,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee
abcdefu,GAYLE,776489541,4fouWK6XVHhzl78KzQ1UjL,https://i.scdn.co/image/ab67616d0000b2732842f743ebd32235bceb43d3
Head & Heart,Joel Corry,775664589,6cx06DFPPHchuUAcTxznu9,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb
