title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,rock,edm,latin,kpop,country
Some Way,NAV,6447996,7zxRMhXxJMQCeDDg0rKAVo,https://i.scdn.co/image/ab67616d0000b27309641cc11bfab19e890bbf58,https://p.scdn.co/mp3-preview/9eb93c4617326b7c1255df60c9a6a80e58fe1997?cid=e06033cb82944a2fabf676f565716d87,75.0,https://open.spotify.com/track/7zxRMhXxJMQCeDDg0rKAVo,2017-02-24,7rkW85dBwwrJtlHRDkJDAC,True,,,,,,
Maman ne le sait pas,Ninho,6447614,5c2HadbVTsMKjja4gohEFI,https://i.scdn.co/image/ab67616d0000b27349f298c896b4e4237e2a614e,https://p.scdn.co/mp3-preview/4415d4865ee8fc02b905f551134873e4b879cde4?cid=e06033cb82944a2fabf676f565716d87,67.0,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI,2019-03-22,6Te49r3A6f5BiIgBRxH7FH,True,True,,,,,
Donuts,Gzuz,6446981,5XVPNr0CAoUn1jD033Ucoo,https://i.scdn.co/image/ab67616d0000b273709a7fa7daf9ba4607c9eb31,https://p.scdn.co/mp3-preview/09add28ada442396986b71caa1e3a3a9de09575f?cid=e06033cb82944a2fabf676f565716d87,60.0,https://open.spotify.com/track/5XVPNr0CAoUn1jD033Ucoo,2020-02-13,5eioJDe26lOqkAMbuhzZYs,True,,,,,,
SKYBOX,Gunna,6440443,4jMPZl0GrSFgbogJ0C6sNG,https://i.scdn.co/image/ab67616d0000b273d7547a7624116ac5f8a51fd2,https://p.scdn.co/mp3-preview/9875de77fdbad98c13376d74d71ee0978ce6c170?cid=e06033cb82944a2fabf676f565716d87,55.0,https://open.spotify.com/track/4jMPZl0GrSFgbogJ0C6sNG,2020-05-22,2hlmm7s2ICUX0LVIhVFlZQ,True,,,,,,
Keine Liebe,RIN,6436526,4OVF6uwZlMOSlZmHDnwliX,https://i.scdn.co/image/ab67616d0000b27311c0f2c4db6be763a8abeafe,https://p.scdn.co/mp3-preview/ed55731be7d72f49547e9f05c24ea3e2624819bc?cid=e06033cb82944a2fabf676f565716d87,61.0,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX,2019-12-06,18ISxWwWjV6rPLoVCXf1dz,True,,,,,,
Bust Me,Lil Uzi Vert,6433815,4wBcaYqLPm7EtDVoJQORU4,https://i.scdn.co/image/ab67616d0000b273d5f1bbe527fa685633339add,https://p.scdn.co/mp3-preview/b9eef6f616ef4f8f99d214187b762725ce9da2a8?cid=e06033cb82944a2fabf676f565716d87,53.0,https://open.spotify.com/track/4wBcaYqLPm7EtDVoJQORU4,2020-03-06,4O15NlyKLIASxsJ0PrXPfz,True,,,,,,
Dámelo To’,Selena Gomez,6426522,36CiGk9oRdwTnBDMgKEfjl,https://i.scdn.co/image/ab67616d0000b2738b11b0be988e17da2799b94d,https://p.scdn.co/mp3-preview/75180667dc3233962e981f39a73985efe1d65e2a?cid=e06033cb82944a2fabf676f565716d87,48.0,https://open.spotify.com/track/36CiGk9oRdwTnBDMgKEfjl,2021-03-12,0C8ZW7ezQVs4URX5aX7Kqx,,True,,,,,
Chains,Nick Jonas,6423444,5Eg4TsPcqNbIjd8ADMZosg,https://i.scdn.co/image/ab67616d0000b2733721c00c751f3596b38ffdad,https://p.scdn.co/mp3-preview/abe771e15e2642cc5ab3bb1d8d43bb8ffee23ecb?cid=e06033cb82944a2fabf676f565716d87,60.0,https://open.spotify.com/track/5Eg4TsPcqNbIjd8ADMZosg,2015-11-20,4Rxn7Im3LGfyRkY2FlHhWi,,True,,True,,,
Reggaetón en lo Oscuro,Wisin & Yandel,6417097,7LLXLd0pisbEAdIVK502VM,https://i.scdn.co/image/ab67616d0000b273a590257ccbc3ab81d00d8856,https://p.scdn.co/mp3-preview/16993d14040711673a03004f6487be004bcabc17?cid=e06033cb82944a2fabf676f565716d87,62.0,https://open.spotify.com/track/7LLXLd0pisbEAdIVK502VM,2018-12-14,1wZtkThiXbVNtj6hee6dz9,True,,,True,True,,
Walking in the Wind,One Direction,6414040,1ZycJRpLOazlLcoFGxGROO,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,https://p.scdn.co/mp3-preview/72d2c3060bf13ecfc56b15990268902d24b4fa2d?cid=e06033cb82944a2fabf676f565716d87,67.0,https://open.spotify.com/track/1ZycJRpLOazlLcoFGxGROO,2015-11-13,4AK6F7OLvEQ5QYCBNiQWHq,,True,,,,,
Lost,Maroon 5,6410263,18XlJEroUwFo0tLZxscgXE,https://i.scdn.co/image/ab67616d0000b27391dab6f19c1eebff49470fce,https://p.scdn.co/mp3-preview/708219cee2b7f806aa4089ff12118f46fa4b8f30?cid=e06033cb82944a2fabf676f565716d87,71.0,https://open.spotify.com/track/18XlJEroUwFo0tLZxscgXE,2021-06-11,04gDigrS5kc9YWfZHwBETP,,True,,,,,
Star Treatment,Arctic Monkeys,6399280,0b93tWwuoAC0nXe1CfR30I,https://i.scdn.co/image/ab67616d0000b2738895ff0f90525f4aa9437c27,https://p.scdn.co/mp3-preview/c523da91f4239a6cc8924b5f9e4376c8fd71eda6?cid=e06033cb82944a2fabf676f565716d87,61.0,https://open.spotify.com/track/0b93tWwuoAC0nXe1CfR30I,2018-05-10,7Ln80lUS6He07XvHI8qqHH,,,True,,,,
World's Smallest Violin,AJR,6391521,2GujK1FWxxOZ118PaWNgbZ,https://i.scdn.co/image/ab67616d0000b2730b2dd5b222295ed11c07954c,https://p.scdn.co/mp3-preview/6b65a65ca23c52900dc52c8ea2437e3d79bd6059?cid=e06033cb82944a2fabf676f565716d87,67.0,https://open.spotify.com/track/2GujK1FWxxOZ118PaWNgbZ,2021-03-26,6s22t5Y3prQHyaHWUN1R1C,,,,,,,
Paradise,Coldplay,6391118,6nek1Nin9q48AVZcWs9e9D,https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d,https://p.scdn.co/mp3-preview/1039fd50eaca0a268a2378a6c9244bf85c8b961f?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/6nek1Nin9q48AVZcWs9e9D,2011-10-24,4gzpq5DPGxSnKTe4SA8HAU,,True,,,,,
